,Дата,visitors_count
420,2020-01-12,25
421,2020-01-14,2
422,2020-01-15,2
423,2020-01-16,4
424,2020-01-17,6
425,2020-01-18,30
426,2020-01-19,38
427,2020-01-21,62
428,2020-01-22,3
429,2020-01-23,28
430,2020-01-24,2
431,2020-01-25,83
432,2020-01-26,34
433,2020-01-28,20
434,2020-01-29,6
435,2020-01-30,37
436,2020-01-31,8
437,2020-02-01,26
438,2020-02-02,36
439,2020-02-04,2
440,2020-02-05,61
441,2020-02-06,2
442,2020-02-07,15
443,2020-02-08,21
444,2020-02-09,17
445,2020-02-12,30
446,2020-02-13,2
447,2020-02-14,7
448,2020-02-15,38
449,2020-02-16,49
450,2020-02-18,10
451,2020-02-19,130
452,2020-02-20,5
453,2020-02-21,1
454,2020-02-22,87
455,2020-02-23,49
456,2020-02-25,6
457,2020-02-26,4
458,2020-02-27,4
459,2020-02-28,104
460,2020-02-29,13
461,2020-03-03,20
462,2020-03-05,2
463,2020-03-06,2
464,2020-03-07,13
465,2020-03-08,13
